Place overall,Place gender,Place category,Name,,Club,Runner no,Category,HALF,Finish time,,year
1183,52,42,"» Holt, Toni (GBR)",,,350,18-39,01:26:26,02:58:30,,2014
53,53,46,"» Challenger, Andrew (GBR)",,,929,18-39,01:14:07,02:32:12,,2014
1196,53,3,"» Kelly, Samantha (GBR)",,,357,45-49,01:27:50,02:58:35,,2014
1209,54,43,"» Clements, Amy (GBR)",,,486,18-39,01:28:46,02:58:38,,2014
54,54,47,"» Rendall, Julian (GBR)",,,752,18-39,01:14:01,02:32:19,,2014
55,55,48,"» Burden, Phil (GBR)",,,789,18-39,01:14:40,02:32:29,,2014
1212,55,2,"» Steer, Deborah (GBR)",,,347,50-54,01:28:05,02:58:40,,2014
1217,56,44,"» Blizzard, Louise (GBR)",,,430,18-39,01:27:56,02:58:42,,2014
56,56,49,"» Mason, James (GBR)",,,827,18-39,01:13:36,02:32:29,,2014
57,57,50,"» Madar, Abdi (GBR)",,,888,18-39,01:16:14,02:32:30,,2014
1220,57,8,"» Prosser, Clare (GBR)",,,502,40-44,01:30:07,02:58:46,,2014
1237,58,45,"» Rutter, Tamsyn Clare (GBR)",,,184,18-39,01:26:35,02:58:55,,2014
58,58,51,"» Wilson, Chris (GBR)",,,1021,18-39,01:15:28,02:32:35,,2014
1239,59,9,"» Burke, Anthony (GBR)",,,31548,40-44,01:28:22,02:58:55,,2014
59,59,52,"» Wilson, Robert (GBR)",,,1108,18-39,01:14:34,02:32:44,,2014
1255,60,46,"» James, Leigh (GBR)",,,525,18-39,01:26:46,02:59:00,,2014
60,60,53,"» Steel, Daniel (GBR)",,,31593,18-39,01:13:34,02:32:46,,2014
1258,61,10,"» Chant, Ian (GBR)",,,31752,40-44,01:27:20,02:59:01,,2014
61,61,54,"» Kargbo, Idrissa (SLE)",,,52583,18-39,01:11:39,02:32:52,,2014
1264,62,47,"» Brockbank, Nikki (GBR)",,,307,18-39,01:28:52,02:59:03,,2014
62,62,55,"» Petitjean, Damien (FRA)",,,1153,18-39,01:14:25,02:32:56,,2014
1283,63,11,"» Glover, James Richard (GBR)",,,26529,40-44,01:28:38,02:59:11,,2014
63,63,56,"» Rodgers, Paul (GBR)",,,944,18-39,01:09:16,02:32:57,,2014
64,64,57,"» Laws, Olly (GBR)",,,870,18-39,01:12:50,02:33:08,,2014
1302,64,48,"» Yetton, Ami (GBR)",,,373,18-39,01:28:56,02:59:21,,2014
65,65,8,"» Affleck, Robert (GBR)",,,1023,40-44,01:15:34,02:33:16,,2014
1350,65,49,"» Mcewing, Alison (GBR)",,,455,18-39,01:27:51,02:59:39,,2014
1351,66,4,"» Mason, Debra (GBR)",,,41944,45-49,01:29:12,02:59:40,,2014
66,66,58,"» Meade, Richard (GBR)",,,1034,18-39,01:16:29,02:33:24,,2014
1354,67,50,"» Ault, Emily (GBR)",,,320,18-39,01:29:06,02:59:42,,2014
67,67,59,"» Renou, Ludovic (FRA)",,,1095,18-39,01:15:09,02:33:25,,2014
