Place overall,Place gender,Place category,Name,,Club,Runner no,Category,HALF,Finish time,,year
295,291,219,"» Ruiz-Tagle, Jose Tomas (CHI)",,,56038,18-39,01:18:41,02:43:25,,2014
3165,291,63,"» Williams, Sarah (GBR)",,,28760,40-44,01:37:30,03:17:15,,2014
3178,292,64,"» Mayer, Lucy (GBR)",,,494,40-44,01:34:26,03:17:22,,2014
296,292,220,"» Uff, Chris (GBR)",,,879,18-39,01:18:19,02:43:25,,2014
297,293,221,"» Ince, Mark (GBR)",,,715,18-39,01:21:13,02:43:27,,2014
3180,293,184,"» King, Lorna Jane (GBR)",,,40857,18-39,01:38:07,03:17:23,,2014
298,294,47,"» Hayes, Jacob (GBR)",,,1007,40-44,01:20:17,02:43:29,,2014
3186,294,185,"» Moakes, Laetitia (GBR)",,,29306,18-39,01:36:35,03:17:26,,2014
3189,295,37,"» Malin, Frances (GBR)",,,317,45-49,01:35:43,03:17:27,,2014
299,295,222,"» McCarron, Stephen (GBR)",,,31371,18-39,01:20:30,02:43:29,,2014
300,296,6,"» Hogg, Gerry (GBR)",,,1051,50-54,01:20:42,02:43:31,,2014
3192,296,186,"» Kennedy, Lorna (GBR)",,,22658,18-39,01:36:55,03:17:28,,2014
3197,297,187,"» Gibbons, Carla (GBR)",,,29417,18-39,01:37:59,03:17:31,,2014
301,297,21,"» Pennington, Steven (GBR)",,,32679,45-49,01:22:02,02:43:31,,2014
302,298,223,"» Maddams, Royston (GBR)",,,32245,18-39,01:19:09,02:43:32,,2014
3198,298,188,"» Richardson, Caroline (GBR)",,,29519,18-39,01:37:09,03:17:31,,2014
303,299,224,"» Evison, Ben (GBR)",,,32618,18-39,01:20:17,02:43:33,,2014
3200,299,38,"» Smith, Helen (GBR)",,,29826,45-49,01:37:23,03:17:33,,2014
3216,300,39,"» Eastman, Jacqueline (GBR)",,,29405,45-49,01:35:03,03:17:37,,2014
304,300,225,"» Fuller, Alexis (GBR)",,,33010,18-39,01:23:16,02:43:33,,2014
3221,301,40,"» Archbold, Karen Judith (GBR)",,,27724,45-49,01:37:51,03:17:39,,2014
305,301,226,"» Simkiss, Richard (GBR)",,,1003,18-39,01:19:37,02:43:36,,2014
3229,302,189,"» Burwood, Kelly (GBR)",,,238,18-39,01:36:35,03:17:41,,2014
306,302,227,"» Mccarthy, CHRIS (GBR)",,,1093,18-39,01:19:37,02:43:36,,2014
3232,303,190,"» Dowsley, Anne (GBR)",,,52703,18-39,01:38:02,03:17:43,,2014
307,303,48,"» Sutor, Ken (GBR)",,,32337,40-44,01:20:25,02:43:40,,2014
3240,304,65,"» Hicks, Aislinn (USA)",,,56206,40-44,01:31:14,03:17:47,,2014
308,304,22,"» Rantell, Dave (GBR)",,,32874,45-49,01:20:39,02:43:43,,2014
309,305,49,"» Carre, Chris (GBR)",,,975,40-44,01:19:42,02:43:44,,2014
3259,305,191,"» Shillitoe, Hannah (GBR)",,,30062,18-39,01:35:34,03:17:57,,2014
310,306,228,"» Mellard, Zak (GBR)",,,1197,18-39,01:18:37,02:43:44,,2014
3260,306,192,"» Stone, Serane Louise (GBR)",,,164,18-39,01:26:29,03:17:57,,2014
311,307,50,"» Miller, Graeme (GBR)",,,32180,40-44,01:20:52,02:43:44,,2014
3263,307,193,"» Owens, Katherine (GBR)",,,29349,18-39,01:37:14,03:17:58,,2014
312,308,51,"» Kerrigan, Michael (GBR)",,,32854,40-44,01:21:00,02:43:45,,2014
3264,308,9,"» Ryder, Helen (GBR)",,,29247,50-54,01:35:08,03:18:01,,2014
313,309,229,"» Bowller, Adam (GBR)",,,31682,18-39,01:22:01,02:43:47,,2014
3282,309,194,"» Gibbons, Clare (GBR)",,,47963,18-39,01:37:09,03:18:14,,2014
314,310,230,"» Drane, Kieren (GBR)",,,651,18-39,01:21:11,02:43:47,,2014
3285,310,195,"» Pitt, Jessica Katie Anne (GBR)",,,167,18-39,01:36:35,03:18:15,,2014
315,311,23,"» May, Kev (GBR)",,,720,45-49,01:19:31,02:43:47,,2014
3296,311,41,"» Warner, Julie (GBR)",,,28348,45-49,01:37:21,03:18:19,,2014
3297,312,42,"» SULLIVAN, CARMEL (GBR)",,,201,45-49,01:35:18,03:18:19,,2014
316,312,24,"» Thomas, Stephen (GBR)",,,843,45-49,01:17:48,02:43:51,,2014
3307,313,196,"» Malone, Tara (IRL)",,,29374,18-39,01:36:35,03:18:24,,2014
317,313,25,"» Peart, Dave (GBR)",,,32675,45-49,01:21:08,02:43:52,,2014
3310,314,66,"» Farrall, Ali (GBR)",,,29779,40-44,01:38:11,03:18:25,,2014
318,314,26,"» Ratcliffe, Jonathan Paul (GBR)",,,740,45-49,01:18:35,02:43:53,,2014
3313,315,197,"» Jones, Rebecca L (GBR)",,,28887,18-39,01:37:45,03:18:28,,2014
319,315,52,"» Rowland, Chris (GBR)",,,1024,40-44,01:20:45,02:43:53,,2014
320,316,231,"» Ward, Dave (GBR)",,,32630,18-39,01:20:28,02:43:53,,2014
3318,316,198,"» Yates, Suzanne (GBR)",,,173,18-39,01:35:50,03:18:30,,2014
321,317,232,"» Moulton, Carl (GBR)",,,689,18-39,01:16:12,02:43:54,,2014
3319,317,199,"» Tapping, Amy (GBR)",,,30031,18-39,01:38:11,03:18:30,,2014
3321,318,200,"» Ashe, Lucy (GBR)",,,29837,18-39,01:35:30,03:18:31,,2014
322,318,27,"» Grimes, Dylan (GBR)",,,32917,45-49,01:18:46,02:43:55,,2014
3329,319,201,"» Cordner, Gillian (GBR)",,,28823,18-39,01:37:51,03:18:33,,2014
323,319,233,"» Harris, Benjamin (GBR)",,,717,18-39,01:19:18,02:43:57,,2014
3332,320,10,"» Burgess, Verna (GBR)",,,28626,50-54,01:36:03,03:18:37,,2014
324,320,234,"» Harris, Jonathan (GBR)",,,1135,18-39,01:18:58,02:43:58,,2014
325,321,235,"» Renshaw, Benjamin (GBR)",,,24730,18-39,01:19:18,02:43:59,,2014
3334,321,67,"» Welsh, Catriona (GBR)",,,28983,40-44,01:40:27,03:18:37,,2014
3351,322,43,"» Atkins, Rebecca (GBR)",,,499,45-49,01:37:41,03:18:47,,2014
326,322,236,"» Brown, Euan (GBR)",,,1156,18-39,01:21:57,02:44:00,,2014
3357,323,202,"» Gray, Nikki (GBR)",,,29942,18-39,01:37:54,03:18:48,,2014
327,323,28,"» Martin, Scott (GBR)",,,1052,45-49,01:20:41,02:44:00,,2014
3358,324,44,"» Vitale-Cumper, Giule (GBR)",,,29628,45-49,01:35:43,03:18:49,,2014
328,324,53,"» Westhead, karl (GBR)",,,1131,40-44,01:17:37,02:44:01,,2014
3381,325,203,"» Hall, Izzy De Carteret (GBR)",,,44703,18-39,01:37:37,03:18:59,,2014
329,325,237,"» Wrapson, Stephen (GBR)",,,24488,18-39,01:17:23,02:44:01,,2014
330,326,238,"» Coulson, Phil (GBR)",,,966,18-39,01:21:51,02:44:05,,2014
3385,326,45,"» Morgan, April (GBR)",,,28934,45-49,01:35:27,03:19:00,,2014
3387,327,204,"» Sanders, Katie (GBR)",,,54782,18-39,01:34:38,03:19:02,,2014
331,327,239,"» Wray, Jason Patrick (GBR)",,,49417,18-39,01:20:38,02:44:05,,2014
3392,328,205,"» Biever, Celeste (GBR)",,,29663,18-39,01:37:44,03:19:03,,2014
332,328,240,"» Kelso, Timothy (GBR)",,,31720,18-39,01:22:09,02:44:10,,2014
3393,329,206,"» Forman, Victoria (GBR)",,,28972,18-39,01:34:28,03:19:04,,2014
333,329,241,"» Geraghty, Fiachra (IRL)",,,32485,18-39,01:18:55,02:44:12,,2014
3413,330,68,"» Hollowbread, Becky (GBR)",,,217,40-44,01:33:34,03:19:11,,2014
334,330,242,"» Wright, Andrew (GBR)",,,24012,18-39,01:15:15,02:44:13,,2014
335,331,54,"» Moles, James (GBR)",,,925,40-44,01:19:29,02:44:14,,2014
3415,331,207,"» Pickford, Helen (GBR)",,,155,18-39,01:34:27,03:19:11,,2014
3419,332,208,"» Kilcourse, Elisabeth (GBR)",,,29863,18-39,01:38:39,03:19:14,,2014
336,332,243,"» Rosenbrier, Jonathan (GBR)",,,31856,18-39,01:20:28,02:44:16,,2014
3425,333,209,"» French, Marie (GBR)",,,468,18-39,01:30:11,03:19:17,,2014
337,333,29,"» Thompson, Matthew Joseph (GBR)",,,30961,45-49,01:17:31,02:44:19,,2014
3425,333,209,"» WUJEK, MAGDALENA (POL)",,,29020,18-39,01:37:14,03:19:17,,2014
338,334,244,"» Walker, Mark (GBR)",,,652,18-39,01:20:14,02:44:27,,2014
339,335,55,"» CHAPON, JEAN DAMIEN (FRA)",,,56978,40-44,01:21:50,02:44:28,,2014
3427,335,211,"» McKenzie, Monique (GBR)",,,30134,18-39,01:35:48,03:19:19,,2014
340,336,245,"» Anderson, Daniel (GBR)",,,995,18-39,01:17:28,02:44:28,,2014
3430,336,212,"» Dickinson, Shantha (GBR)",,,216,18-39,01:37:10,03:19:20,,2014
3444,337,46,"» Chaloner, Sarah (GBR)",,,422,45-49,01:36:00,03:19:24,,2014
341,337,246,"» Miller, Chris (GBR)",,,31411,18-39,01:21:15,02:44:28,,2014
3445,338,213,"» Beak, Joanna (GBR)",,,28499,18-39,01:37:00,03:19:25,,2014
342,338,30,"» Tuff, Malcolm (GBR)",,,32523,45-49,01:19:26,02:44:29,,2014
343,339,247,"» Balen, Mischa (GBR)",,,901,18-39,01:20:45,02:44:32,,2014
3464,339,69,"» Hopkins, Pauline Theresa (GBR)",,,48122,40-44,01:35:39,03:19:33,,2014
3470,340,70,"» Hardman, Gina (GBR)",,,29433,40-44,01:32:42,03:19:37,,2014
344,340,31,"» Payne, Paul (GBR)",,,1081,45-49,01:20:53,02:44:33,,2014
345,341,248,"» LAURENT, JEROME (FRA)",,,57135,18-39,01:21:06,02:44:34,,2014
3475,341,71,"» Williams, Heather (GBR)",,,29370,40-44,01:39:44,03:19:38,,2014
3478,342,72,"» Andrews, Emma (GBR)",,,29371,40-44,01:40:17,03:19:41,,2014
346,342,32,"» Burnett, Gary (GBR)",,,691,45-49,01:20:07,02:44:34,,2014
347,343,249,"» Ahmed, Hussein (GBR)",,,697,18-39,01:16:02,02:44:35,,2014
3480,343,73,"» Jackson-Nocker, Vicky Louise (GBR)",,,51394,40-44,01:36:45,03:19:42,,2014
3484,344,214,"» Bates, Sophie (GBR)",,,29108,18-39,01:36:51,03:19:43,,2014
348,344,250,"» McGonagle, Ciaran (IRL)",,,32693,18-39,01:21:27,02:44:35,,2014
3489,345,215,"» Davies, Nicola (GBR)",,,28750,18-39,01:34:41,03:19:45,,2014
349,345,251,"» Macdonald, Christopher (GBR)",,,1089,18-39,01:20:40,02:44:37,,2014
3491,346,47,"» Dobbie, Karen (GBR)",,,29729,45-49,01:40:39,03:19:45,,2014
350,346,252,"» Stokes, Adam (GBR)",,,1116,18-39,01:20:07,02:44:37,,2014
351,347,253,"» Hawkes, Stuart (GBR)",,,32095,18-39,01:20:56,02:44:38,,2014
3506,347,216,"» Lomas, Katie (GBR)",,,29801,18-39,01:34:28,03:19:51,,2014
352,348,254,"» Adams, Thomas (GBR)",,,30859,18-39,01:20:58,02:44:38,,2014
3508,348,217,"» Cole, Michelle (GBR)",,,203,18-39,01:33:34,03:19:51,,2014
353,349,255,"» Lambert, Simon (GBR)",,,31214,18-39,01:23:00,02:44:42,,2014
3525,349,218,"» Rock, Sarah (GBR)",,,29263,18-39,01:37:22,03:20:01,,2014
354,350,256,"» Bryers, Dermot (GBR)",,,32055,18-39,01:22:09,02:44:42,,2014
3533,350,11,"» Jonsson, Maria Ionice (SWE)",,,56818,50-54,01:36:19,03:20:04,,2014
3544,351,219,"» Klohe, Anna Katharina (GBR)",,,18316,18-39,01:34:18,03:20:11,,2014
355,351,257,"» Other, Thomas (GBR)",,,32624,18-39,01:22:42,02:44:43,,2014
3546,352,48,"» Clapham, Susan (GBR)",,,24747,45-49,01:37:36,03:20:12,,2014
356,352,258,"» Rae, Derek (GBR)",,,31249,18-39,01:19:39,02:44:43,,2014
3551,353,220,"» Barnett, Gemma (GBR)",,,415,18-39,01:34:07,03:20:15,,2014
357,353,56,"» Betteley, David (GBR)",,,32032,40-44,01:17:27,02:44:45,,2014
3559,354,221,"» Baillie, Sophie (GBR)",,,28324,18-39,01:35:43,03:20:19,,2014
358,354,259,"» Wurr, Simon (GBR)",,,780,18-39,01:15:09,02:44:48,,2014
3566,355,222,"» Hirons, Sarah (GBR)",,,28882,18-39,01:35:56,03:20:20,,2014
359,355,57,"» Hulbert, Martin (GBR)",,,32377,40-44,01:21:37,02:44:50,,2014
3572,356,223,"» Graham, Amy (GBR)",,,29143,18-39,01:38:45,03:20:24,,2014
360,356,260,"» Kendall, Mark Andrew (GBR)",,,609,18-39,01:20:32,02:44:51,,2014
3573,357,224,"» Berryman, Marie (GBR)",,,29117,18-39,01:36:30,03:20:24,,2014
361,357,33,"» Rabbetts, Mark (GBR)",,,886,45-49,01:21:55,02:44:51,,2014
362,358,261,"» Ives, David Andrew (GBR)",,,920,18-39,01:17:00,02:44:51,,2014
3578,358,225,"» Marvin, Emma (GBR)",,,237,18-39,01:36:31,03:20:27,,2014
363,359,58,"» Mallison, Peter (GBR)",,,1141,40-44,01:18:34,02:44:52,,2014
3582,359,226,"» Stibbs, Cath (GBR)",,,397,18-39,01:33:07,03:20:29,,2014
3588,360,49,"» Aspin, Kath (GBR)",,,257,45-49,01:37:59,03:20:32,,2014
364,360,262,"» Medd, Steven (GBR)",,,31349,18-39,01:22:20,02:44:54,,2014
365,361,263,"» Snell, Ryan (GBR)",,,31056,18-39,01:23:34,02:44:54,,2014
3590,361,74,"» Yates, Rachel Elizabeth (GBR)",,,52240,40-44,01:39:40,03:20:33,,2014
3591,362,227,"» Dadswell, Ruth (GBR)",,,536,18-39,01:39:39,03:20:34,,2014
366,362,59,"» Welling, Stephen (GBR)",,,31478,40-44,01:22:11,02:44:55,,2014
367,363,264,"» Danson, Robert (GBR)",,,32696,18-39,01:20:27,02:44:55,,2014
