Place,BIB#,Lastname,Firstname,Club,Nation,Sex,AC,AC Place,Net,Finish,Photos,Certificate
116,52154,Dam,Andreas,AGF Atletik,DEN,M,30,34,02:33:54,02:34:00,,
117,26618,Geilich,Niklas,,GER,M,35,22,02:34:05,02:34:27,,
118,15464,Brandebura,Michal,,POL,M,40,15,02:34:13,02:34:20,,
119,25123,Nilsson,Jonas,Ãrebro AIK,SWE,M,H,26,02:34:15,02:34:22,,
120,17282,Shine,John,,IRL,M,35,23,02:34:17,02:34:22,,
121,18094,Rees,Matthew,Swansea Harriers,GBR,M,30,35,02:34:17,02:34:22,,
122,56554,Martinez,Xavier,,FRA,M,30,36,02:34:20,02:34:24,,
123,29458,RÃ¶themeyer,Marvin,LSF MÃ¼nster,GER,M,30,37,02:34:23,02:34:31,,
124,18939,TollÃ¥s,Kristoffer,KML,NOR,M,35,24,02:34:26,02:34:37,,
125,17933,Tiphene,Guillaume,CA BALMA,FRA,M,H,27,02:34:27,02:34:29,,
126,4645,Schwarz,Stephan,ASICS by LeoSport,GER,M,35,25,02:34:32,02:34:53,,
127,27203,Besson,Nicolas,Serpentine RC,FRA,M,40,16,02:34:34,02:34:37,,
128,51342,Bugnard,Paul-Alain,Barbes Runners,FRA,M,30,38,02:34:35,02:34:41,,
129,12506,Gudmundsson,Stefan,Snik Atletik,ISL,M,50,2,02:34:36,02:34:44,,
129,57385,Nicewicz,Sebastian,,USA,M,H,28,02:34:36,02:34:47,,
131,F20,Vandenbussche,Hanna,AV Roeselare,BEL,W,30,5,02:34:44,02:34:44,,
132,14011,Geerdes,Dominik,,GER,M,H,29,02:34:46,02:35:04,,
133,20259,Mcdowell,Jasper,Lazy Boys Track Club,SUI,M,H,30,02:34:48,02:35:00,,
134,29403,Brooks,Edward,,GBR,M,40,17,02:34:48,02:34:54,,
135,28083,Storms,Max,Raytona Beach,USA,M,30,39,02:34:49,02:34:54,,
136,13063,Gaundal,Jon Arne,Steinkjer FIK,NOR,M,30,40,02:34:50,02:34:54,,
137,14916,Wedgwood,John,,GBR,M,30,41,02:34:50,02:35:02,,
138,51521,Cardoso,Pedro SimÃ£o,Uelikoch Laufsport,POR,M,30,42,02:34:51,02:34:56,,
139,18064,Sandbu,Lars Ronningen,Fremad Famagusta,NOR,M,30,43,02:34:52,02:35:03,,
140,98,Jongh,Robert,,NED,M,50,3,02:34:54,02:34:54,,
141,14384,Unger,Robert,Spiridon Frankfurt,GER,M,35,26,02:34:56,02:35:04,,
142,29710,Lawrence,Andrew,,GBR,M,35,27,02:34:57,02:35:02,,
143,60045,Strappato,Massimiliano,Atletica Amatori Osimo,ITA,M,30,44,02:35:01,02:35:04,,
144,19004,Albertin,Ismael,MILA Rheintal,SUI,M,40,18,02:35:05,02:35:13,,
145,20698,Xatziiwannou,Mihalis,PANORMITIS SYMI,GRE,M,30,45,02:35:08,02:35:12,,
146,12456,Inak,Kamil,PEAK Running Team,TUR,M,35,28,02:35:08,02:35:13,,
147,28049,Campion-Smith,Tim,,GBR,M,30,46,02:35:10,02:35:15,,
148,18059,Sauer,Felix,,GER,M,35,29,02:35:12,02:35:18,,
149,28266,Knut,Ãdegaard,Bratsberg IL,NOR,M,45,10,02:35:14,02:35:19,,
150,27752,Parrico,Cyril,airbus ds,FRA,M,35,30,02:35:22,02:35:27,,
151,F24,WÃ¥gan,Maria,IK Tjalve,NOR,W,H,7,02:35:34,02:35:34,,
152,54835,Jimenez Campos,Carlos,,ESP,M,35,31,02:35:36,02:36:07,,
153,55666,Landa tranca,Alberto,Atletismo fuenlabrada,ESP,M,30,47,02:35:42,02:35:56,,
154,13724,Hiller,Christian,TB Hamburg Eilbeck,GER,M,30,48,02:35:44,02:35:49,,
155,56735,Medeiros,J Matthew,Northern Lights RC,USA,M,35,32,02:35:48,02:35:59,,
156,25879,GrÃ¸stad,Truls,,NOR,M,30,49,02:35:48,02:35:59,,
157,13066,Hartmann,Tian,,SUI,M,35,33,02:35:51,02:36:00,,
158,20977,Schwark,Ludwig,LAC Olympia Berlin - NBRO,GER,M,35,34,02:35:58,02:36:02,,
159,14537,Jeftich,Niko,Fleet Feet NB Racing Team,USA,M,H,31,02:36:06,02:36:13,,
160,14252,Bruinsma,Peter,,NED,M,50,4,02:36:07,02:36:12,,
161,12553,Drake,Andrew,,GBR,M,35,35,02:36:17,02:36:27,,
162,12665,Gacoin,Florian,CA BALMA,FRA,M,35,36,02:36:20,02:36:24,,
163,12095,Holm,Henrik,,DEN,M,H,32,02:36:22,02:36:31,,
164,59723,Skjeflo,Espen,Bodo Bauta,NOR,M,30,50,02:36:30,02:36:36,,
165,17952,Lucyk,Maciej,Maratonczyk Poznan,POL,M,35,37,02:36:31,02:36:39,,
166,14829,Rasmussen,Jonas,,DEN,M,30,51,02:36:32,02:36:47,,
167,56876,Michalec,Tomas,ASK Fenix Bratislava,SVK,M,30,52,02:36:32,02:36:40,,
168,14044,Griveau,Nicolas,FREERUN A3T,FRA,M,40,19,02:36:34,02:36:39,,
169,21916,Artioli,Miller,,ITA,M,40,20,02:36:36,02:36:41,,
170,50792,Berger,Rico,LAC Olympia 88 Berlin,GER,M,30,53,02:36:36,02:36:41,,
171,25990,Mulej,Janez,,SLO,M,40,21,02:36:41,02:36:52,,
172,21699,Bue,Robert,Marnardal IL,NOR,M,30,54,02:36:42,02:36:52,,
173,25792,Garcia,Luis,TRIEUME AS PONTES CLUB,ESP,M,40,22,02:36:42,02:36:51,,
174,17525,StÃ¸a-Aanensen,Bendik,,NOR,M,30,55,02:36:44,02:36:53,,
175,26626,Verluyten,Frankie,JMT Mol,BEL,M,35,38,02:36:44,02:36:49,,
176,26475,Nalbantoglu,Gunes,BOGAZICI UNIVERSITY,TUR,M,30,56,02:36:51,02:36:55,,
177,26683,Da Costa Mendoza,Victor,,ESP,M,30,57,02:36:53,02:37:02,,
178,14056,Tjelta,Frode,Sandnes il,NOR,M,45,11,02:36:59,02:37:19,,
179,15095,Redondo Santiago,Aitor,Pilona deporte,ESP,M,40,23,02:37:01,02:37:06,,
180,60468,Tournabien,CÃ©dric,COURIR A COGNAC,FRA,M,45,12,02:37:05,02:37:12,,
181,28197,Poly,Geoffrey,TEAM LENGLEN,FRA,M,35,39,02:37:12,02:37:18,,
182,53148,Foley,Vivian,,IRL,M,50,5,02:37:12,02:37:20,,
183,58170,Polansky,Micah,,USA,M,40,24,02:37:20,02:37:33,,
184,25463,Weir,Neill,,GBR,M,45,13,02:37:22,02:37:29,,
185,23453,Ledwig,Felix,LAC Olympia 88 Berlin,GER,M,30,58,02:37:24,02:37:28,,
186,12168,Boland,Patrick,RESC,BEL,M,40,25,02:37:29,02:37:44,,
187,52826,Engelbrechtsen,Glenn,SNIK,DEN,M,40,26,02:37:37,02:37:45,,
188,F18,Akeno,Martha,,KEN,W,H,8,02:37:41,02:37:41,,
189,56082,Lohm Isberg,Maximilian,FK Studenterna,SWE,M,30,59,02:37:42,02:37:52,,
190,21439,Frorud,Espen Udjus,,NOR,M,30,60,02:37:42,02:38:08,,
191,14091,Shiohira,Jacob,,USA,M,H,33,02:37:43,02:37:50,,
192,14605,Kaluza,Mateusz,,POL,M,H,34,02:37:49,02:37:58,,
193,56954,MjÃ¸s,Per Christian Eggen,Varegg Friidrett,NOR,M,H,35,02:37:51,02:37:57,,
194,60262,Taute,Brock,,USA,M,H,36,02:37:54,02:38:53,,
195,14378,Banias,Roman,Track and Speed,UKR,M,35,40,02:37:55,02:38:08,,
196,55547,Kulak,Piotr,Aktywni Kamiensk,POL,M,30,61,02:37:59,02:38:11,,
197,27441,Gregory,Chris,,USA,M,35,41,02:38:02,02:38:21,,
198,18176,JeÃen,SÃ¶ren,,GER,M,30,62,02:38:04,02:38:17,,
199,26118,Jouffre,Fabien,CMI,FRA,M,40,27,02:38:06,02:38:32,,
200,59522,senac,pierre,,FRA,M,55,1,02:38:08,02:38:12,,
201,22052,Legault,Elissa,CAVD,CAN,W,H,9,02:38:08,02:38:13,,
202,59001,Ruthe,Ralf,,GER,M,40,28,02:38:09,02:38:18,,
203,17974,Jonen,Christian,,GER,M,40,29,02:38:12,02:38:19,,
204,16991,O Donovan,Jeremy,St Finbarr,IRL,M,40,30,02:38:17,02:38:22,,
205,19991,Grace,Shane,St Theresas Athletic Club,GBR,M,40,31,02:38:25,02:38:37,,
206,25265,SÃ¡nchez Zamora,Francisco,IntrÃ¶ Works Aluche,ESP,M,45,14,02:38:28,02:38:38,,
207,15530,Wolpert,Chad,Best Athletics,RSA,M,30,63,02:38:29,02:38:39,,
208,53783,Greinig,Scott,,SUI,M,H,37,02:38:32,02:38:44,,
209,F29,Flanagan,Shalane,,USA,W,40,2,02:38:32,02:38:32,,
210,25001,de Knijff,Dennis,Phanos Amsterdam,NED,M,35,42,02:38:33,02:39:28,,
211,16602,Lavender,Alison,Oswestry Olympians,GBR,W,30,6,02:38:34,02:38:41,,
212,16786,Cunningham,Cian,London City Athletic Club,IRL,M,35,43,02:38:35,02:38:40,,
213,25475,Aylott,Matthew,Reigate Priory AC,GBR,M,45,15,02:38:36,02:38:58,,
214,15219,Williams,David,Sutton Runners,GBR,M,50,6,02:38:39,02:38:45,,
215,13843,Wingren,Robert,IK Akele,SWE,M,30,64,02:38:39,02:38:53,,
216,59724,SkjÃ¸restad,Anstein,,NOR,M,35,44,02:38:39,02:38:44,,
217,54077,Hansen,Mark,,DEN,M,30,65,02:38:44,02:38:56,,
218,12129,Florimond,Cedric,A2M,FRA,M,40,32,02:38:48,02:38:59,,
219,16273,Daut,Fabian,,GER,M,30,66,02:38:50,02:39:15,,
220,12013,Falkenthal,Florian,RUN4ALL,GER,M,30,67,02:38:52,02:38:59,,
221,28548,Letson,Jack,Inverclyde Athletic Club,GBR,M,40,33,02:38:55,02:39:03,,
222,24827,Brekke,Martin,,NOR,M,H,38,02:38:55,02:39:08,,
223,14063,Hoheisel,Nikolas,Berlin Track Club,GER,M,30,68,02:38:56,02:39:03,,
224,27650,French,Jason,Wdac,GBR,M,40,34,02:38:58,02:39:13,,
225,21723,Fleisje,Henrik,,NOR,M,40,35,02:39:02,02:39:10,,
226,28122,Benedetti,Enrico,Golden club rimini,ITA,M,40,36,02:39:02,02:39:12,,
227,13278,Porebski,Thomas,Flying Pukeko Racing Team,GER,M,35,45,02:39:02,02:39:24,,
228,56036,Liska,Laurent,,FRA,M,40,37,02:39:06,02:39:16,,
229,27142,Vetchy,Jan,AK ISCAREX Ceska Trebova,CZE,M,35,46,02:39:07,02:39:24,,
230,24240,Pauker,Semjon,SCC Berlin,GER,M,35,47,02:39:08,02:39:22,,
231,28846,Reischauer,Marcus,CLR Sauwald Cofain 699,AUT,M,35,48,02:39:09,02:39:20,,
232,19781,Wiegele,Stefan,,AUT,M,40,38,02:39:10,02:39:31,,
233,54773,Jaramillo Melgarejo,Miguel Angel,,MEX,M,30,69,02:39:11,02:39:14,,
234,16175,Thon,Kristian,Team KlabutermÃ¤nner,NOR,M,45,16,02:39:14,02:39:35,,
235,24536,Jalilvand,Tinusch,SCC Berlin,GER,M,30,70,02:39:16,02:39:28,,
236,22904,Wick,Thomas,,GER,M,30,71,02:39:16,02:39:31,,
237,25207,Nichols,Tom,LRC Racing,USA,M,35,49,02:39:21,02:39:25,,
238,57228,Murillo,Jorge Esteban,,COL,M,30,72,02:39:22,02:39:38,,
239,14071,Zelenskiy,Gennadiy,,UKR,M,35,50,02:39:25,02:39:31,,
240,59740,Slezak,Piotr,SlezakTeam,POL,M,30,73,02:39:27,02:39:35,,
241,55712,Larisch,Balthasar,SV Waldkirch,GER,M,30,74,02:39:29,02:39:38,,
242,17528,Grunert,Julien,Laufteam Lama by Reha-Fit,GER,M,H,39,02:39:30,02:39:37,,
243,53159,Fontana,Federico,QUALITY LIFE,BRA,M,40,39,02:39:34,02:39:45,,
244,F27,Morchner,Sandra,Laufteam Kassel,GER,W,50,1,02:39:36,02:39:36,,
245,29658,Rauch,Philipp,FCStPauli,GER,M,40,40,02:39:37,02:39:53,,
246,75,Nerkamp,Jens,,GER,M,30,75,02:39:40,02:39:40,,
247,12186,Saga,Vegard,Kamp Vestheim IF,NOR,M,30,76,02:39:40,02:39:47,,
248,57828,PARZYSZEK,Bogusz,SWORDS WARSAW,POL,M,35,51,02:39:48,02:39:53,,
249,21879,Lopez,Nestor,,VEN,M,30,77,02:39:50,02:39:53,,
250,57088,Morf,Samuel,TV Oerlikon,SUI,M,40,41,02:39:56,02:40:04,,
251,56246,Lyons,Paddy,Tallaght AC,IRL,M,40,42,02:39:59,02:40:09,,
252,55525,Kudrjavcevs,Sergejs,ironman lv,LAT,M,40,43,02:40:05,02:40:17,,
253,15901,Lynch,Grace,ASICS Frontrunner UK,IRL,W,H,10,02:40:06,02:40:26,,
254,14013,Peltoniemi,Ossi,Rovaniemen Roadrunners,FIN,M,35,52,02:40:08,02:40:14,,
255,57173,Mulder,Arne,AV PEC 1910,NED,M,30,78,02:40:15,02:40:22,,
